Startup_ID,Country,Industry,Funding_Stage,Total_Funding_MUSD,Annual_Revenue_MUSD,Burn_Rate_MUSD,Revenue_Growth_Percent,Employee_Count,Valuation_MUSD,Is_IPO,Annual_Profit_MUSD,Is_Profitable,Region
1001,USA,SaaS,Series B,82.47980257,184.4148193,41.49005869,248.66106,1232,225.3449898,0,19.80726625,1,World
1002,Japan,EdTech,Series A,23.86309556,36.14924398,44.95439912,112.2410771,642,202.3989967,0,-25.32248108,0,World
1003,Singapore,EdTech,Seed,10.74531735,59.46272348,3.499899762,107.6309545,1714,862.4985082,0,15.95256628,1,World
1004,Germany,E-Commerce,Series C,97.96263085,195.1699726,15.17373208,143.0602068,1546,617.8741913,0,43.28382005,1,World
1008,UAE,FinTech,Seed,3.081455915,5.754570999,24.86067341,177.973978,1933,314.6573049,0,-16.24911122,0,World
1009,China,HealthCare,Seed,47.12125956,197.9896669,33.19439493,119.8614482,1360,880.7315765,0,30.02689314,1,World
1010,Singapore,FinTech,Series C,24.63275371,56.13473437,24.91845962,216.3379559,19,259.0200374,0,-1.704307421,0,World
1012,Japan,SaaS,Seed,56.99086823,199.179312,3.415437428,80.79283519,994,147.1197063,0,50.23362161,1,World
1013,UAE,FinTech,Series A,8.671093948,120.1683236,43.81176785,130.6878239,678,776.5239777,0,-4.239688223,0,World
1017,USA,EdTech,Series C,79.43001238,81.53131658,6.659156231,35.46691716,496,394.5008333,1,22.24804111,1,World
1018,Germany,AI/ML,Seed,42.19095332,121.4323725,39.89270111,140.751747,451,181.7211583,0,2.903912056,1,World
1019,UK,E-Commerce,Series C,10.24975482,88.05013804,6.045494854,128.6281664,887,137.9295721,1,21.30589617,1,World
1021,China,AI/ML,Seed,9.992979925,107.1805732,16.25854487,244.5295596,1591,72.50526412,0,16.57861679,1,World
1024,USA,SaaS,Seed,86.09324282,29.80093923,31.90195012,194.2532275,1036,953.0749937,0,-13.03569336,0,World
1025,UK,AI/ML,Series A,92.5366407,46.3320635,18.43262573,284.9637149,335,89.95732827,0,4.395099731,1,World
1026,Canada,HealthCare,Series A,82.7995152,21.91007276,43.05344001,118.1877835,262,816.9347526,0,-22.59613082,0,World
1028,Germany,HealthCare,Series C,27.97219767,102.7605014,10.84338504,276.8435995,1088,380.9784027,0,21.77676317,1,World
1029,Germany,FinTech,Series A,55.36641339,64.57526216,16.87285816,150.0040771,895,297.4249278,1,7.374133934,1,World
1031,China,E-Commerce,Series A,99.34390603,196.5067214,19.38533952,116.2208577,1330,704.1214276,0,40.93802196,1,World
1034,Israel,FinTech,Seed,69.74123301,20.22479543,17.45570151,62.959137,1768,272.0534787,0,-3.441218533,0,World
1035,Japan,AI/ML,Seed,83.39035257,64.0400145,14.76953367,139.9917436,478,688.5267939,0,11.52229305,1,World
